family,genus,searched.name,count,score
Asteraceae,Cynara,Cynara.algarbiensis,286,0.289473222
Scrophulariaceae,Verbascum,Verbascum.longifolium,287,0.228283833
Poaceae,Helictochloa,Helictochloa.pratensis,287,0.229281029
Apiaceae,Thapsia,Thapsia.minor,287,0.241595366
Amaranthaceae,Salsola,Salsola.genistoides,295,0.177546178
Poaceae,Vulpia,Vulpia.geniculata,298,0.136252607
Asteraceae,Launaea,Launaea.nudicaulis,301,0.340455372
Polygonaceae,Rumex,Rumex.cyprius,304,0.303077061
Plantaginaceae,Linaria,Linaria.spartea,312,0.196106141
Scrophulariaceae,Linaria,Linaria.spartea,312,0.196106141
Campanulaceae,Phyteuma,Phyteuma.gallicum,312,0.399541314
Caprifoliaceae,Lomelosia,Lomelosia.divaricata,316,0.188563949
Poaceae,Festuca,Festuca.nigrescens,321,0.06636574
Cyperaceae,Carex,Carex.michelii,321,0.21886866
Poaceae,Festuca,Festuca.pallens,331,0.068325365
Fabaceae,Trifolium,Trifolium.cernuum,331,0.204211588
Leguminosae,Trifolium,Trifolium.cernuum,331,0.204211588
Asteraceae,Artemisia,Artemisia.barrelieri,334,0.352355037
Compositae,Artemisia,Artemisia.barrelieri,334,0.352355037
Brassicaceae,Erysimum,Erysimum.diffusum,339,0.113142855
Caryophyllaceae,Dianthus,Dianthus.laricifolius,339,0.25385798
Asteraceae,Filago,Filago.lutescens,339,0.353886964
Compositae,Filago,Filago.lutescens,339,0.353886964
Brassicaceae,Alyssum,Alyssum.minutum,343,0.173717128
Asteraceae,Scorzonera,Scorzonera.angustifolia,345,0.481806588
Poaceae,Festuca,Festuca.rivularis,349,0.058447972
Poaceae,Stipa,Stipa.eriocaulis,352,0.377981278
Fabaceae,Trigonella,Trigonella.balansae,353,0.38217439
Leguminosae,Trigonella,Trigonella.balansae,353,0.38217439
Papilionaceae,Trigonella,Trigonella.balansae,353,0.38217439
Poaceae,Aegilops,Aegilops.biuncialis,355,0.391407143
Boraginaceae,Alkanna,Alkanna.tinctoria,362,0.220402398
